ds,yhat,yhat_lower,yhat_upper
2021-10-04,446210.3403585727,342219.07987956126,544811.9613253297
2021-10-05,443422.7873063836,348274.81242654164,542364.5466624884
2021-10-06,441216.1676845306,340739.5214936338,540419.0233726114
2021-10-07,439523.3633154851,340343.25657513447,539189.5508323614
2021-10-08,438077.4196218413,340289.90017120965,540950.0177586116
2021-10-09,437682.1149639124,340757.112543026,543076.236562933
2021-10-10,437551.3139267978,331519.07793581404,538906.0999422574
2021-10-11,437964.1208169933,340162.7502918855,536814.2980393284
2021-10-12,438753.5493385578,334162.82890235283,536245.7064755836
2021-10-13,440003.35961562465,338614.2755585041,535010.9547088615
2021-10-14,441567.4691788321,339113.1049135535,537560.1406263117
2021-10-15,443110.92362280976,346300.8911788845,541172.000440698
2021-10-16,445340.32735589816,344925.5907590962,552792.1176713202
2021-10-17,447434.4092981839,349413.78041855694,548303.0628057958
2021-10-18,449612.56863612524,339419.1476596616,545756.6518217999
2021-10-19,451675.87826456706,353389.85867672425,556405.6044074959
2021-10-20,453681.8261600543,350554.6892677167,554997.2768870103
2021-10-21,455481.0026619725,354690.5741835131,555845.9761283401
2021-10-22,456757.36492961465,359960.6161685044,553167.9700172986
2021-10-23,458216.1619443701,355388.7899570304,563247.1010862917
2021-10-24,459102.83787919465,363171.96944189066,555447.6771033591
2021-10-25,459681.94538295973,362022.3981714655,557101.7994106694
2021-10-26,459827.3418951523,363781.80449429445,561409.3979965657
2021-10-27,459671.6709184441,353734.8945696073,554548.9172120802
2021-10-28,459157.23118868633,354744.087935733,561891.6680878063
2021-10-29,458072.6024210613,363003.84579677467,563855.1199449509
2021-10-30,457195.3813342381,361443.87540655007,555811.2532853003
2021-10-31,455897.06908890704,355470.0892813929,549883.0010117238
2021-11-01,454530.39906965086,362850.1026197627,553014.2922102433
2021-11-02,453067.2330619288,351662.7605401799,551547.0435565066
2021-11-03,451721.79563834507,345929.68372478493,555326.982722346
2021-11-04,450515.27625757956,352819.8812273846,545212.4002943822
2021-11-05,449308.9212203046,352761.5056320325,552597.7877079506
2021-11-06,448902.2395557421,348490.521039409,548581.7670049174
2021-11-07,448725.07129255077,347374.4076659998,547892.2727496746
2021-11-08,449135.0328544062,349804.42747877404,549452.3891718276
2021-11-09,450105.27632562566,354244.9080924421,552082.9601298489
2021-11-10,451824.0407114451,357140.07386750786,553306.7599977179
2021-11-11,454275.8800611214,360173.7873581645,550279.3823632048
2021-11-12,457274.3633004149,368494.5306510967,561422.9191891552
2021-11-13,460513.9832579029,359349.84610370995,560579.9745157441
2021-11-14,464335.0513097193,368281.320352742,562878.6060067147
2021-11-15,468978.98595723044,374443.1831208005,565132.8174180115
2021-11-16,474308.5907045967,375963.58261368296,576989.0165641889
2021-11-17,480384.741836926,381858.2437657574,590187.1821506475
2021-11-18,487070.0614391334,393073.2213642383,584210.2094281993
2021-11-19,494065.3337559147,392400.621948573,593053.0261768588
2021-11-20,501910.67116656556,400147.6811875136,598925.5385399375
2021-11-21,509893.64934738266,404841.11671107635,620972.1684152575
