ds,yhat,yhat_lower,yhat_upper,Country
2021-02-21,6511.116368822938,0.0,13642.454392665653,India
2021-02-22,6295.595514366036,0.0,14330.318330038597,India
2021-02-23,6190.38537869145,0.0,14137.44685794923,India
2021-02-24,6227.3245424845745,0.0,13947.114545527982,India
2021-02-25,6365.920860587701,0.0,14381.98313903308,India
2021-02-26,6603.724631029677,0.0,14489.521060773948,India
2021-02-27,7006.515375283518,0.0,14204.877873894033,India
2021-02-28,8019.492349166365,830.828921543041,15983.898860068553,India
2021-03-01,9167.67894784109,1945.9563225219467,17080.63845559596,India
2021-03-02,10444.199218252916,2760.0300715175167,17775.78314334898,India
2021-03-03,11883.66477187912,3522.3861134374597,19364.94610862078,India
2021-03-04,13414.62878895035,5520.436074110201,20475.4706493866,India
2021-03-05,15016.90470926498,7324.634973161107,22765.561066259856,India
2021-03-06,16785.66069330523,8965.879997488037,24626.327020042787,India
2021-03-07,18579.33546903816,11178.844689212297,25908.095684730473,India
2021-03-08,20383.661093252984,12553.71986432544,27338.060751583613,India
2021-03-09,22163.325801587664,14663.353704690813,30005.074721455603,India
2021-03-10,23955.339128225653,16435.111347278555,32218.86679790806,India
2021-03-11,25647.03828011922,17921.79435589387,33636.4339903826,India
2021-03-12,27216.262826487146,18982.593036513805,34631.38606218398,India
2021-03-13,28812.05131860272,21097.493714177846,36142.65723728589,India
2021-03-14,30255.15269194096,22771.9929830076,37965.06869873558,India
2021-03-15,31558.36351016999,23665.871126136368,38865.15905554449,India
2021-03-16,32712.350880622766,24610.53582168842,40189.96175756071,India
2021-03-17,33810.340000874254,25864.525932261422,41428.50882546361,India
2021-03-18,34750.106418726966,26812.209127911425,42501.91093199143,India
2021-03-19,35555.5143075154,27880.261303726358,42446.15839520152,India
2021-03-20,36472.43617065285,28683.662613426313,44097.172601799815,India
2021-03-21,37320.62966401204,29503.321881654458,44782.81646552394,India
2021-03-22,38169.339153300185,30849.749979681157,45890.58483482457,India
2021-03-23,39056.43418367192,31406.00321274452,46485.77642038528,India
2021-03-24,40143.80035459573,32346.236429005225,47805.33508614038,India
2021-03-25,41342.937169852776,33805.36229080563,48684.52951586945,India
2021-03-26,42717.725186416574,34991.82108616257,50636.025270490514,India
2021-03-27,44595.6797885511,37063.72376721739,51877.91569109668,India
2021-03-28,46771.54368548151,39611.18816568842,54087.47624070937,India
2021-03-29,49338.729643860876,42039.835669144246,56968.83454868656,India
2021-03-30,52342.559549816324,44074.46457785498,59979.52203941855,India
